ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,Attribute 10 name,Attribute 10 value(s),Attribute 10 visible,Attribute 10 global
,simple,,کد محصول,1,0,visible,,توضیحات,,,taxable,,1,,10,0,0,z,x,z,وزن بسته,1,,,,"لوازم روشنایی > پروژکتور, لوازم روشنایی",پروژکتور,,,,,,,,,,,0,رنگ,عکس برداری,1,0,توان مصرفی,رنگ,1,0,نوردهی (لومن),نوردهی (لومن),1,0,دمای رنگ (کلوین),دمای رنگ (کلوین),1,0,لوکس,دمای رنگ (کلوین),1,0,CRI,لوکس,1,0,آی پی,CRI,1,0,گارانتی,آی پی,1,0,محل نصب,گارانتی,1,0,برند,,1,0
,simple,,براکت ۳۰ سانتی,1,0,visible,,,,,taxable,,1,,10,0,0,4,6,3.5,152,1,,,,"لوازم روشنایی > پروژکتور, لوازم روشنایی",پروژکتور,,"https://shop.perseuslighting.com/wp-content/uploads/2024/11/tarlan-bracket-30cm-6-scaled.jpeg, https://shop.perseuslighting.com/wp-content/uploads/2024/11/tarlan-bracket-30cm-1-scaled.jpeg, https://shop.perseuslighting.com/wp-content/uploads/2024/11/tarlan-bracket-30cm-2-scaled.jpeg, https://shop.perseuslighting.com/wp-content/uploads/2024/11/tarlan-bracket-30cm-3-scaled.jpeg, https://shop.perseuslighting.com/wp-content/uploads/2024/11/tarlan-bracket-30cm-4-scaled.jpeg, https://shop.perseuslighting.com/wp-content/uploads/2024/11/tarlan-bracket-30cm-5-scaled.jpeg, https://shop.perseuslighting.com/wp-content/uploads/2024/11/tarlan-bracket-30cm-7-scaled.jpeg",,,,,,,,,0,رنگ,TRUE,1,0,توان مصرفی,مهتابی,1,0,نوردهی (لومن),85,1,0,دمای رنگ (کلوین),6500,1,0,لوکس,6500,1,0,CRI,,1,0,آی پی,80,1,0,گارانتی,,1,0,محل نصب,18 ماه,1,0,برند,,1,0
,simple,,براکت ۶۰ سانتی,1,0,visible,,,,,taxable,,1,,10,0,0,4.5,6,3.5,284,1,,,,"لوازم روشنایی > پروژکتور, لوازم روشنایی",پروژکتور,,https://shop.perseuslighting.com/wp-content/uploads/2024/11/tarlan-bracket-30cm-6-scaled.jpeg,,,,,,,,,0,رنگ,TRUE,1,0,توان مصرفی,مهتابی,1,0,نوردهی (لومن),85,1,0,دمای رنگ (کلوین),6500,1,0,لوکس,6500,1,0,CRI,,1,0,آی پی,80,1,0,گارانتی,,1,0,محل نصب,18 ماه,1,0,برند,,1,0
,simple,,براکت ۹۰ سانتی,1,0,visible,,,,,taxable,,1,,10,0,0,4,6,3.5,408,1,,,,"لوازم روشنایی > پروژکتور, لوازم روشنایی",پروژکتور,,https://shop.perseuslighting.com/wp-content/uploads/2024/11/tarlan-bracket-30cm-6-scaled.jpeg,,,,,,,,,0,رنگ,TRUE,1,0,توان مصرفی,مهتابی,1,0,نوردهی (لومن),85,1,0,دمای رنگ (کلوین),6500,1,0,لوکس,6500,1,0,CRI,,1,0,آی پی,80,1,0,گارانتی,,1,0,محل نصب,18 ماه,1,0,برند,,1,0
,simple,,براکت ۱۲۰ سانتی,1,0,visible,,,,,taxable,,1,,10,0,0,,,,,1,,,,"لوازم روشنایی > پروژکتور, لوازم روشنایی",پروژکتور,,https://shop.perseuslighting.com/wp-content/uploads/2024/11/tarlan-bracket-30cm-6-scaled.jpeg,,,,,,,,,0,رنگ,TRUE,1,0,توان مصرفی,مهتابی,1,0,نوردهی (لومن),85,1,0,دمای رنگ (کلوین),6500,1,0,لوکس,6500,1,0,CRI,,1,0,آی پی,80,1,0,گارانتی,,1,0,محل نصب,18 ماه,1,0,برند,,1,0
,simple,,پنل ۱۵ وات,1,0,visible,,,,,taxable,,1,,10,0,0,4.5,12,4.5,160,1,,,,"لوازم روشنایی > پروژکتور, لوازم روشنایی",پروژکتور,,"https://shop.perseuslighting.com/wp-content/uploads/2024/11/talran-15w-1-scaled.jpeg, https://shop.perseuslighting.com/wp-content/uploads/2024/11/talran-15w-2-scaled.jpeg, https://shop.perseuslighting.com/wp-content/uploads/2024/11/talran-15w-3-scaled.jpeg, https://shop.perseuslighting.com/wp-content/uploads/2024/11/talran-15w-4-scaled.jpeg, https://shop.perseuslighting.com/wp-content/uploads/2024/11/talran-15w-5-scaled.jpeg, https://shop.perseuslighting.com/wp-content/uploads/2024/11/talran-15w-6-scaled.jpeg, https://shop.perseuslighting.com/wp-content/uploads/2024/11/talran-15w-7-scaled.jpeg",,,,,,,,,0,رنگ,TRUE,1,0,توان مصرفی,مهتابی,1,0,نوردهی (لومن),100,1,0,دمای رنگ (کلوین),6500,1,0,لوکس,6500,1,0,CRI,,1,0,آی پی,80,1,0,گارانتی,,1,0,محل نصب, سال تعویض، 5 سال خدمات,1,0,برند,,1,0
,simple,,پنل اضطراری,1,0,visible,,,,,taxable,,1,,10,0,0,4.5,12,4.5,223,1,,,,"لوازم روشنایی > پروژکتور, لوازم روشنایی",پروژکتور,,"https://shop.perseuslighting.com/wp-content/uploads/2024/11/tarlan-emergency-light-1-scaled.jpeg, https://shop.perseuslighting.com/wp-content/uploads/2024/11/tarlan-emergency-light-2-scaled.jpeg, https://shop.perseuslighting.com/wp-content/uploads/2024/11/tarlan-emergency-light-3-scaled.jpeg, https://shop.perseuslighting.com/wp-content/uploads/2024/11/tarlan-emergency-light-4-scaled.jpeg, https://shop.perseuslighting.com/wp-content/uploads/2024/11/tarlan-emergency-light-5-scaled.jpeg, https://shop.perseuslighting.com/wp-content/uploads/2024/11/tarlan-emergency-light-6-scaled.jpeg",,,,,,,,,0,رنگ,TRUE,1,0,توان مصرفی,مهتابی,1,0,نوردهی (لومن),100,1,0,دمای رنگ (کلوین),6500,1,0,لوکس,6500,1,0,CRI,,1,0,آی پی,80,1,0,گارانتی,,1,0,محل نصب,2 سال تعویض، 5 سال خدمات,1,0,برند,,1,0
,simple,,پرژکتور 50 وات,1,0,visible,,,,,taxable,,1,,10,0,0,4,17,4,842,1,,,,"لوازم روشنایی > پروژکتور, لوازم روشنایی",پروژکتور,,"https://shop.perseuslighting.com/wp-content/uploads/2024/11/hasis-projector-50w-1-scaled.jpeg, https://shop.perseuslighting.com/wp-content/uploads/2024/11/hasis-projector-50w-2-scaled.jpeg, https://shop.perseuslighting.com/wp-content/uploads/2024/11/hasis-projector-50w-3-scaled.jpeg, https://shop.perseuslighting.com/wp-content/uploads/2024/11/hasis-projector-50w-4-scaled.jpeg, https://shop.perseuslighting.com/wp-content/uploads/2024/11/hasis-projector-50w-5-scaled.jpeg, https://shop.perseuslighting.com/wp-content/uploads/2024/11/hasis-projector-50w-6-scaled.jpeg",,,,,,,,,0,رنگ,TRUE,1,0,توان مصرفی,مهتابی,1,0,نوردهی (لومن),110,1,0,دمای رنگ (کلوین),6500,1,0,لوکس,6500,1,0,CRI,,1,0,آی پی,85,1,0,گارانتی,67,1,0,محل نصب,18 ماه گارانتی,1,0,برند,,1,0
,simple,,پرژکتور 100 وات,1,0,visible,,,,,taxable,,1,,10,0,0,4.7,23.8,4,1790,1,,,,"لوازم روشنایی > پروژکتور, لوازم روشنایی",پروژکتور,,"https://shop.perseuslighting.com/wp-content/uploads/2024/11/hasis-projector-100w-6-scaled.jpeg, https://shop.perseuslighting.com/wp-content/uploads/2024/11/hasis-projector-100w-1-scaled.jpeg, https://shop.perseuslighting.com/wp-content/uploads/2024/11/hasis-projector-100w-2-scaled.jpeg, https://shop.perseuslighting.com/wp-content/uploads/2024/11/hasis-projector-100w-3-scaled.jpeg, https://shop.perseuslighting.com/wp-content/uploads/2024/11/hasis-projector-100w-4-scaled.jpeg, https://shop.perseuslighting.com/wp-content/uploads/2024/11/hasis-projector-100w-5-scaled.jpeg",,,,,,,,,0,رنگ,TRUE,1,0,توان مصرفی,مهتابی,1,0,نوردهی (لومن),110,1,0,دمای رنگ (کلوین),,1,0,لوکس,,1,0,CRI,,1,0,آی پی,85,1,0,گارانتی,65,1,0,محل نصب,18 ماه,1,0,برند,,1,0
